,prime_award_unique_key,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
1164,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1165,ASST_NON_MN-2021-036_6955,4226996.0,2021-07-13,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1166,ASST_NON_69A37522300004020MD0_6940,5446027.12,2021-12-15,69,Department of Transportation (DOT),YU6WVSPTHKQ9,"TRANSPORTATION, MARYLAND DEPARTMENT OF",210610000
1167,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1168,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1169,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1170,ASST_NON_693JJ22230000YS30CA5083020_6925,1039500.0,2022-03-30,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1171,ASST_NON_693JJ22230000Y301PAT043645_6925,340000.0,2022-06-17,69,Department of Transportation (DOT),DWXXLGJBUPL7,"TRANSPORTATION, PENNSYLVANIA DEPARTMENT OF",171200001
1172,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1173,ASST_NON_693JJ31950003_6925,122837388.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
1174,ASST_NON_693JJ22230000Y238IN2002967_6925,435920.0,2022-03-18,69,Department of Transportation (DOT),JGG2ZJCXBMY3,"TRANSPORTATION, INDIANA DEPARTMENT OF",462042219
1175,ASST_NON_693JJ22230000Y233IN1600678_6925,268868.0,2022-09-02,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1176,ASST_NON_DEEE0009988_8900,4796161.0,2022-08-05,89,Department of Energy (DOE),S249YBY1KLE8,KANSAS HOUSING RESOURCES CORPORATION,666033869
1177,ASST_NON_693JJ22230000Y230WA3840013_6925,894003.0,2022-03-28,69,Department of Transportation (DOT),FCT9KQ8L2574,"TRANSPORTATION, WASHINGTON STATE DEPARTMENT OF",985012361
1178,ASST_NON_693JJ22230000Y450IN2001059_6925,57340.14,2022-08-25,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1179,ASST_NON_693JJ22230000Y237MS8029003_6925,72310.0,2022-09-13,69,Department of Transportation (DOT),CMKLXEA2MND4,MISSISSIPPI DEPARTMENT OF TRANSPORTATION,392011010
1180,ASST_NON_69A3752230000405DMTM_6940,1342771.5,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
1181,ASST_NON_69A3752230000405BMTL_6940,339108.52,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
1182,ASST_NON_693JJ22230000Y230MI22A0371_6925,3136641.38,2022-02-16,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1183,ASST_NON_693JJ22230000Y233MI22A0373_6925,176620.3,2022-02-16,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1184,ASST_NON_693JJ22230000Y450VT2023100_6925,2696351.0,2022-07-22,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
1185,ASST_NON_69A3602230801MCG0MO_6953,10208838.0,2022-06-06,69,Department of Transportation (DOT),HZLXEB71YNQ7,"TRANSPORTATION, MISSOURI DEPARTMENT OF",651016811
1186,ASST_NON_693JJ22230000Y240IN2101634_6925,186208.0,2022-09-13,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1187,ASST_NON_693JJ22230000YS32OHE191430_6925,240000.0,2022-02-09,69,Department of Transportation (DOT),ERAMRH53K2Y7,"TRANSPORTATION, OHIO DEPARTMENT OF",432231102
1188,ASST_NON_693JJ22230000YS30CA5007090_6925,1317406.0,2022-04-04,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1189,ASST_NON_693JJ22230000YS30CA5007090_6925,1317406.0,2022-04-04,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1190,ASST_NON_693JJ22230000Y001CA5007098_6925,115089.0,2022-03-18,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1191,ASST_NON_693JJ22230000YS30CA5905118_6925,811869.0,2022-02-10,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
1192,ASST_NON_69A3602230801MCG0MO_6953,10208838.0,2022-06-06,69,Department of Transportation (DOT),HZLXEB71YNQ7,"TRANSPORTATION, MISSOURI DEPARTMENT OF",651016811
1193,ASST_NON_69A3602230801MCG0MO_6953,10208838.0,2022-06-06,69,Department of Transportation (DOT),HZLXEB71YNQ7,"TRANSPORTATION, MISSOURI DEPARTMENT OF",651016811
1194,ASST_NON_69A3602230801MCG0MO_6953,10208838.0,2022-06-06,69,Department of Transportation (DOT),HZLXEB71YNQ7,"TRANSPORTATION, MISSOURI DEPARTMENT OF",651016811
1195,ASST_NON_693JJ22230000Y301MO3324412_6925,1350000.0,2022-09-08,69,Department of Transportation (DOT),HZLXEB71YNQ7,"TRANSPORTATION, MISSOURI DEPARTMENT OF",651016811
1196,ASST_NON_693JJ22230000YS30MN8222188_6925,817198.41,2022-09-06,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1197,ASST_NON_693JJ22230000YS30CA5002211_6925,1053540.0,2022-09-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1198,ASST_NON_693JJ22230000Y400CA5002178_6925,558614.0,2022-08-26,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1199,ASST_NON_693JJ22230000Y400CA5002189_6925,4359000.0,2022-07-15,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1200,ASST_NON_693JJ22230000YS30CA5002200_6925,2195899.0,2022-09-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1201,ASST_NON_693JJ22230000Y240CA5002200_6925,1681976.33,2022-09-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1202,ASST_NON_693JJ22230000Y230CA5002226_6925,500000.0,2022-05-11,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1203,ASST_NON_693JJ22230000Y230CA5002174_6925,3097324.0,2022-03-03,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1204,ASST_NON_693JJ22230000Y230CA5002200_6925,1725023.67,2022-09-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1205,ASST_NON_693JJ22230000YS30CA5002209_6925,622170.0,2022-02-08,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
1206,ASST_NON_693JJ22230000YS30CA5002199_6925,1441500.0,2022-02-08,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
1207,ASST_NON_693JJ22230000Y001CA5904141_6925,64414.42,2022-02-16,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
1208,ASST_NON_693JJ22230000Y400CA5091066_6925,500000.0,2022-08-25,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1209,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1210,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1211,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1212,ASST_NON_693JJ22230000Y233COC490007_6925,834061.0,2022-02-22,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
1213,ASST_NON_693JJ22230000Y240IN1702832_6925,189104.8,2022-09-08,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1214,ASST_NON_693JJ22230000Y400IN1900448_6925,328000.0,2022-08-31,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1215,ASST_NON_693JJ22230000Y230IN2100024_6925,312000.0,2022-09-01,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1216,ASST_NON_693JK32240028HMEP_6957,198708.0,2022-09-28,69,Department of Transportation (DOT),FPQQJ1B2T1K1,"NORTH DAKOTA, STATE OF",585040000
1217,ASST_NON_693JJ22230000Y940MTRTP2213_6925,32617.0,2022-08-17,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
1218,ASST_NON_693JJ22230000YS30CA5448009_6925,1040000.0,2022-08-04,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1219,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1220,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1221,ASST_NON_693JJ22230000Y940MTRTP2215_6925,73000.0,2022-07-27,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
1222,ASST_NON_693JJ22230000Y940MTRTP2208_6925,72115.2,2022-07-26,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
1223,ASST_NON_693JJ22230000Y238MN6521163_6925,1000000.0,2022-04-21,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1224,ASST_NON_VT-2022-003_6955,563465.0,2022-07-27,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
1225,ASST_NON_693JJ22230000Y230FL0312060_6925,430642.0,2022-09-20,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
1226,ASST_NON_693JJ22230000Y001CO0253268_6925,76792.0,2022-02-09,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
1227,ASST_NON_WV-2022-018_6955,2830061.0,2022-08-04,69,Department of Transportation (DOT),T1U2JF6Q1H45,"TRANSPORTATION, WEST VIRGINIA DEPARTMENT OF",253050027
1228,ASST_NON_693JJ22230000Y940CORTD2203_6925,160500.0,2022-03-01,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
1229,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1230,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1231,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1232,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1233,ASST_NON_69A3752230000405DOHL_6940,6187134.21,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1234,ASST_NON_69A3752230000405BOHL_6940,1562521.96,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1235,ASST_NON_69A3752230SUP4020OH0_6940,658313.96,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1236,ASST_NON_69A3752230000405DOHL_6940,6187134.21,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
1237,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1238,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1239,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1240,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1241,ASST_NON_693JJ22230000Y460COR400370_6925,1256804.0,2022-02-07,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
1242,ASST_NON_MI-2022-037_6955,671025.0,2022-07-22,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1243,ASST_NON_693JJ22230000Y001CO0703444_6925,851683.0,2022-02-10,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
1244,ASST_NON_693JJ31950003_6925,92700450.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
1245,ASST_NON_693JJ22230000Y450IN2101675_6925,1017842.01,2022-08-25,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1246,ASST_NON_693JJ22230000Y400IN2101675_6925,360000.0,2022-09-01,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1247,ASST_NON_693JJ22230000Y410IN2101675_6925,32528.3,2022-08-25,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1248,ASST_NON_KS-2021-002_6955,2527493.0,2021-04-20,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
1249,ASST_NON_KS-2021-002_6955,2527493.0,2021-04-20,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
1250,ASST_NON_693JJ31950003_6925,178894809.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
1251,ASST_NON_693JJ22230000YS30FLD319032_6925,1411501.0,2022-09-01,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
1252,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1253,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1254,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1255,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
1256,ASST_NON_693JJ22230000Y240MN2122216_6925,1758100.0,2022-09-21,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1257,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1258,ASST_NON_693JJ91850001_6940,1500000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1259,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1260,ASST_NON_693JJ91850001_6940,1500000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1261,ASST_NON_693JJ91850001_6940,1500000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1262,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1263,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1264,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1265,ASST_NON_693JJ91850001_6940,2053000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1266,ASST_NON_693JJ91850001_6940,2968000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1267,ASST_NON_693JJ91850001_6940,2968000.0,2018-04-01,69,Department of Transportation (DOT),HMBKN1CMKQL5,"GLOBAL HUMAN BODY MODELS CONSORTIUM, LLC",480841526
1268,ASST_NON_693JJ22230000Y240IN1401610_6925,50000.0,2022-09-13,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1269,ASST_NON_693JJ22230000Y230IN1700789_6925,60809.0,2022-03-15,69,Department of Transportation (DOT),JGG2ZJCXBMY3,"TRANSPORTATION, INDIANA DEPARTMENT OF",462042219
1270,ASST_NON_CA-2022-195_6955,6819298.0,2022-09-08,69,Department of Transportation (DOT),JEVVZV6ALEN5,VENTURA COUNTY TRANSPORTATION COMMISSION,930106076
1271,ASST_NON_693JJ22230000Y550COSW02737_6925,27203.0,2022-05-05,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
1272,ASST_NON_NA22NMF4380227_1330,24000000.0,2022-07-19,13,Department of Commerce (DOC),CDNFKKJT29X4,"RECREATION AND CONSERVATION OFFICE, WASHINGTON STATE",985012283
1273,ASST_NON_693JJ22230000Y233IN2002988_6925,132000.0,2022-08-31,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1274,ASST_NON_693JJ22230000Y233IN1702967_6925,28410.0,2022-09-01,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1275,ASST_NON_693JJ31850010_6925,1700000.0,2018-09-18,69,Department of Transportation (DOT),DEKQU1ZMTF89,"TRANSPORTATION, GEORGIA DEPARTMENT OF",303083607
1276,ASST_NON_693JJ2223000022MPMI22A0953_6925,211332.0,2022-09-12,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1277,ASST_NON_693JJ22230000YS30MN2720174_6925,1490850.0,2022-05-16,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1278,ASST_NON_693JJ22230000Y238MN6422149_6925,2114901.94,2022-07-07,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1279,ASST_NON_693JJ22230000Y301MN2721161_6925,879392.36,2022-05-02,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1280,ASST_NON_693JJ22230000Y300MN2722133_6925,855728.16,2022-09-20,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1281,ASST_NON_693JJ31950003_6925,178894809.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
1282,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1283,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1284,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1285,ASST_NON_693JJ22230000Y301CA5063193_6925,580000.0,2022-07-01,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1286,ASST_NON_693JJ22230000Y301CA5063191_6925,4031978.98,2022-06-14,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1287,ASST_NON_693JJ22230000Y301CA5063195_6925,1735951.12,2022-05-05,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1288,ASST_NON_693JJ22230000Y230CA5208174_6925,725804.0,2022-06-06,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1289,ASST_NON_693JJ22230000YS30CA5208168_6925,171511.0,2022-05-03,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1290,ASST_NON_693JJ22230000Y230CA5208160_6925,1746769.0,2022-07-11,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
1291,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
1292,ASST_NON_693JJ22230000Y233MI22A0382_6925,170764.0,2022-02-18,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1293,ASST_NON_693JJ22230000YS30CA5043043_6925,1293800.0,2022-02-10,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
1294,ASST_NON_693JJ22230000Y301NC0527010_6925,65818.0,2022-03-14,69,Department of Transportation (DOT),XSN8A4TT1DY5,"TRANSPORTATION, NORTH CAROLINA DEPARTMENT OF",276011429
1295,ASST_NON_693JJ22230000Y308MN2218160_6925,283780.47,2022-04-18,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1296,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1297,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1298,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
1299,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
1300,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
1301,ASST_NON_693JJ22230000Y307MN0521194_6925,117599.28,2022-04-18,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
1302,ASST_NON_693JJ22230000Y240IN2100288_6925,132745.6,2022-09-08,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
1303,ASST_NON_MI-2021-049_6955,3245891.0,2021-08-18,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
1304,ASST_NON_693JJ22230000Y001CO0931033_6925,45267.0,2022-02-07,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
1305,ASST_NON_693JJ22230000Y460CO0853107_6925,354580.0,2022-05-04,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
1306,ASST_NON_693JJ22230000Y001CO0853107_6925,668563.81,2022-09-22,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
