,contract_award_unique_key,award_id_piid,total_obligated_amount,award_base_action_date,awarding_agency_code,awarding_agency_name,recipient_uei,recipient_name,recipient_zip_4_code
1556,CONT_AWD_89303021FFE400025_8900_GS10F0126U_4730,89303021FFE400025,3168812.25,2021-09-10,89,DEPARTMENT OF ENERGY (DOE),NHHYKK9THCN7,"ONLOCATION, INC.",221804734
1557,CONT_AWD_1240LT22C0010_12C2_-NONE-_-NONE-,1240LT22C0010,221230.0,2022-03-21,12,DEPARTMENT OF AGRICULTURE (USDA),MQX7N62KMTB4,"INTERIOR WEST CONSULTING, LLC",813288777
1558,CONT_AWD_6973GH22C00112_6920_-NONE-_-NONE-,6973GH22C00112,215000.0,2022-06-01,69,DEPARTMENT OF TRANSPORTATION (DOT),F4L1MAT8JLK5,"FLAKE TOWERS, LLC",370407125
1559,CONT_AWD_0004_6940_DTNH2215D00010_6940,0004,12575700.03,2015-09-29,69,DEPARTMENT OF TRANSPORTATION (DOT),N9ZQEJ28MHQ7,"BOWHEAD LOGISTICS SOLUTIONS, LLC",223111855
1560,CONT_AWD_693JJ321F000103_6925_693JJ319A000013_6925,693JJ321F000103,6727710.2,2021-04-09,69,DEPARTMENT OF TRANSPORTATION (DOT),VMRTJLWMQRH7,,221822229
1561,CONT_AWD_693JJ922F00137N_6940_693JJ921D000035_6940,693JJ922F00137N,562793.8,2022-09-21,69,DEPARTMENT OF TRANSPORTATION (DOT),V2C1LANKJ1B5,"TRANSANALYTICS, LLC",189511234
1562,CONT_AWD_140P2022F0198_1443_140P2021D0005_1443,140P2022F0198,1649713.84,2022-07-08,14,DEPARTMENT OF THE INTERIOR (DOI),KBCXMJ2WXRK7,"HDR ENGINEERING, INC.",802024824
1563,CONT_AWD_697DCK22C00353_6920_-NONE-_-NONE-,697DCK22C00353,979464.52,2022-09-15,69,DEPARTMENT OF TRANSPORTATION (DOT),FEA4ZTEGYLM5,AHTNA INFRASTRUCTURE & TECHNOLOGIES LLC,995035677
1564,CONT_AWD_69056722C000019_6925_-NONE-_-NONE-,69056722C000019,1706018.58,2022-07-01,69,DEPARTMENT OF TRANSPORTATION (DOT),E6SDFSH9YLK9,,983639458
1565,CONT_AWD_12444622F0052_12C2_AG63A9C170018_12C2,12444622F0052,115862.0,2022-06-02,12,DEPARTMENT OF AGRICULTURE (USDA),K6VVDS938A15,"HOFF, VERN LAND DEVELOPMENT",556033603
1566,CONT_AWD_6982AF22F00133N_6925_6982AF19D000006_6925,6982AF22F00133N,93354.62,2022-08-15,69,DEPARTMENT OF TRANSPORTATION (DOT),ET9MWK3PM4U6,"DJ&A, P.C.",598018536
1567,CONT_AWD_12445222F0078_12C2_12475618D0011_12C2,12445222F0078,75275.0,2022-08-23,12,DEPARTMENT OF AGRICULTURE (USDA),ULGLM27JJM53,"MCCAY SOUTHERN ELECTRICAL, LLC",373095071
1568,CONT_AWD_140G0121F0201_1434_140G0121D0010_1434,140G0121F0201,629090.18,2021-04-12,14,DEPARTMENT OF THE INTERIOR (DOI),GVEBGEGJMPA4,"AKIMA SYSTEMS ENGINEERING, LLC",201715228
1569,CONT_AWD_6973GH22F00762_6920_6973GH22D00017_6920,6973GH22F00762,6814514.0,2022-03-30,69,DEPARTMENT OF TRANSPORTATION (DOT),GAWHH13W8WR9,"WELLS GLOBAL, LLC",276163177
1570,CONT_AWD_12445522F0078_12C2_1256A120D0012_12C2,12445522F0078,158230.0,2022-07-25,12,DEPARTMENT OF AGRICULTURE (USDA),CGL7MUUYJXS9,"U.P. ENGINEERS & ARCHITECTS, INC.",499311854
1571,CONT_AWD_1240LP22F0051_12C2_1282X918D0004_12C2,1240LP22F0051,944414.0,2022-04-14,12,DEPARTMENT OF AGRICULTURE (USDA),ZWBDMRJBEJ44,SUMMITT FORESTS INC.,975203777
1572,CONT_AWD_12760422C0005_12C2_-NONE-_-NONE-,12760422C0005,1207351.2,2022-09-02,12,DEPARTMENT OF AGRICULTURE (USDA),WKMCZLH1KJM4,"ACE INFO SOLUTIONS, LLC",201911532
1573,CONT_AWD_6973GH22C00081_6920_-NONE-_-NONE-,6973GH22C00081,590550.0,2022-05-04,69,DEPARTMENT OF TRANSPORTATION (DOT),TQ7KVTPLU9V3,TITAN SYSTEMS CORPORATION,221023470
1574,CONT_AWD_693JJ422F000014_6953_NNG15SC65B_8000,693JJ422F000014,27842.05,2022-03-15,69,DEPARTMENT OF TRANSPORTATION (DOT),CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",800033969
1575,CONT_AWD_693JJ321F000142_6925_693JJ320D000024_6925,693JJ321F000142,121555.0,2021-05-15,69,DEPARTMENT OF TRANSPORTATION (DOT),GRE7FRHVM919,"VANASSE HANGEN BRUSTLIN, INC.",024714054
1576,CONT_AWD_693JJ318F000295_6925_LC14C7011_0300,693JJ318F000295,59661.0,2018-08-31,69,DEPARTMENT OF TRANSPORTATION (DOT),V1BLMWD5MTR1,ELSEVIER B.V.,1043NX
1577,CONT_AWD_6973GH22F01562_6920_6973GH22D00009_6920,6973GH22F01562,0.0,2022-08-29,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
1578,CONT_AWD_693JJ922P000036_6940_-NONE-_-NONE-,693JJ922P000036,50000.0,2022-06-30,69,DEPARTMENT OF TRANSPORTATION (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
1579,CONT_AWD_140P8320P0088_1443_-NONE-_-NONE-,140P8320P0088,437847.0,2020-09-24,14,DEPARTMENT OF THE INTERIOR (DOI),DVZRNNZTQL39,"AVAIL TECHNOLOGIES, INC.",168032241
1580,CONT_AWD_693C7320F000056_6925_693C7319D000004_6925,693C7320F000056,662278.14,2020-07-21,69,DEPARTMENT OF TRANSPORTATION (DOT),YHN4DV1JJVF8,WSP USA INC.,201714641
1581,CONT_AWD_12444222F0248_12C2_12444222D0011_12C2,12444222F0248,32109.0,2022-07-28,12,DEPARTMENT OF AGRICULTURE (USDA),J8X1LQ6A6QZ5,JOEL FYOCK,883399610
1582,CONT_AWD_140L3722F0190_1422_140L0620D0020_1422,140L3722F0190,127743.77,2022-08-18,14,DEPARTMENT OF THE INTERIOR (DOI),NEZLJNFFTE11,"CUTTING EDGE FORESTRY, INC.",975019335
1583,CONT_AWD_697DCK22C00289_6920_-NONE-_-NONE-,697DCK22C00289,5037535.2,2022-07-27,69,DEPARTMENT OF TRANSPORTATION (DOT),VJRKWLBYYAD5,"NIRA, INC.",200242701
1584,CONT_AWD_1282B122F0012_12C2_1240BH22A0002_12C2,1282B122F0012,12350.0,2022-07-26,12,DEPARTMENT OF AGRICULTURE (USDA),XQ2NRJ769136,ROSA ENVIRONMENTAL SERVICES LLC,974042746
1585,CONT_AWD_12444222F0178_12C2_12445122D0004_12C2,12444222F0178,59063.4,2022-07-01,12,DEPARTMENT OF AGRICULTURE (USDA),JJMRCA69K1T5,CLOUD MOUNTAIN FORESTRY LLC,728378136
1586,CONT_AWD_1240BE21F0139_12C2_AG046WB170019_12C2,1240BE21F0139,41673.5,2021-08-13,12,DEPARTMENT OF AGRICULTURE (USDA),MPFVJP9NYBS8,EASTERN OREGON STEWARDSHIP SERVICES CORP,977549763
1587,CONT_AWD_89303021FIM000064_8900_89303019AIM000005_8900,89303021FIM000064,30019803.57,2020-11-25,89,DEPARTMENT OF ENERGY (DOE),C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,222032151
1588,CONT_AWD_12444622P0150_12C2_-NONE-_-NONE-,12444622P0150,9650.0,2022-08-09,12,DEPARTMENT OF AGRICULTURE (USDA),MM1EBJJ2NJY8,WILLIAMS CARRIE J,566016424
1589,CONT_AWD_140L1222F0044_1422_140L0620A0001_1422,140L1222F0044,112450.57,2022-09-02,14,DEPARTMENT OF THE INTERIOR (DOI),SKDNFVJ9K8U3,"APPLIED INTELLECT, LLC",160665338
1590,CONT_AWD_W912ES22C0009_9700_-NONE-_-NONE-,W912ES22C0009,6110756.38,2022-05-12,97,DEPARTMENT OF DEFENSE (DOD),H185VB6BB965,"H. B. CONSTRUCTION, INC.",64079
1591,CONT_AWD_W912BV22F0050_9700_W912BV20D0041_9700,W912BV22F0050,798400.0,2022-04-05,97,DEPARTMENT OF DEFENSE (DOD),S816XZESSNB9,"GIDEON CONTRACTING, LIMITED LIABILITY COMPANY",782031901
1592,CONT_AWD_69056721C000008_6925_-NONE-_-NONE-,69056721C000008,18262334.55,2021-02-03,69,DEPARTMENT OF TRANSPORTATION (DOT),NK8PLR12M4J8,"INTERWEST CONSTRUCTION, INC.",982334600
1593,CONT_AWD_693KA922F00206_6920_693KA919D00004_6920,693KA922F00206,2460003.12,2022-09-22,69,DEPARTMENT OF TRANSPORTATION (DOT),Q3DSBK6EC715,ERNST & YOUNG LLP,200054213
1594,CONT_AWD_693JJ321C000032_6925_-NONE-_-NONE-,693JJ321C000032,275008.0,2021-09-28,69,DEPARTMENT OF TRANSPORTATION (DOT),EMW9FC8J3HN4,GEORGIA TECH RESEARCH CORPORATION,30332
1595,CONT_AWD_693JJ322F00143N_6925_693JJ320D000024_6925,693JJ322F00143N,155887.0,2022-06-13,69,DEPARTMENT OF TRANSPORTATION (DOT),GRE7FRHVM919,"VANASSE HANGEN BRUSTLIN, INC.",024714054
1596,CONT_AWD_12444622F0051_12C2_12444622D0005_12C2,12444622F0051,307338.0,2022-05-18,12,DEPARTMENT OF AGRICULTURE (USDA),C9KKR521WLG3,"IMPERIAL FORESTRY, INCORPORATED",975023207
1597,CONT_AWD_W9128F22F0102_9700_W9128F19D0018_9700,W9128F22F0102,14896.9,2022-05-23,97,DEPARTMENT OF DEFENSE (DOD),CFJNG3MKBNG5,"TERRACON CONSULTANTS, INC.",681445558
1598,CONT_AWD_1284LM22F0090_12C2_12034319D0015_12C2,1284LM22F0090,96410.0,2022-06-16,12,DEPARTMENT OF AGRICULTURE (USDA),C9KKR521WLG3,"IMPERIAL FORESTRY, INCORPORATED",975023207
1599,CONT_AWD_12048922F0013_12C2_1204N020A0051_12C2,12048922F0013,311439.0,2022-09-26,12,DEPARTMENT OF AGRICULTURE (USDA),C9KKR521WLG3,"IMPERIAL FORESTRY, INCORPORATED",975023207
1600,CONT_AWD_69056722C000022_6925_-NONE-_-NONE-,69056722C000022,10474759.0,2022-08-04,69,DEPARTMENT OF TRANSPORTATION (DOT),Y25HZA5U1PM3,"QAYAQ CONSTRUCTION, LLC",995181550
1601,CONT_AWD_W912EP22F0107_9700_W912EP20A0017_9700,W912EP22F0107,132699.24,2022-05-17,97,DEPARTMENT OF DEFENSE (DOD),GKUTC2WG6LD1,PANAMERICAN CONSULTANTS INCORPORATED,354053446
1602,CONT_AWD_12FPC322F0191_12D0_12SPEC18D0005_12C3,12FPC322F0191,970421.19,2022-09-14,12,DEPARTMENT OF AGRICULTURE (USDA),RXN5F78G2DM5,PARE CORPORATION,028651145
1603,CONT_AWD_12444122F0160_12C2_GS06F0068R_4730,12444122F0160,15000.0,2022-09-30,12,DEPARTMENT OF AGRICULTURE (USDA),DZ4JXAPAU222,"UNITED RENTALS, INC.",069029200
1604,CONT_AWD_70RSAT22FR0000074_7001_70RSAT22D00000001_7001,70RSAT22FR0000074,750000.0,2022-08-01,70,DEPARTMENT OF HOMELAND SECURITY (DHS),YY46Q97AEZA8,"RAND CORPORATION, THE",904013297
1605,CONT_AWD_6973GH22F01424_6920_6973GH18D00017_6920,6973GH22F01424,39144.0,2022-08-03,69,DEPARTMENT OF TRANSPORTATION (DOT),J83HU9YE2LH5,"FIRST LOGISTEX, INC.",808318405
1606,CONT_AWD_69056722F000004_6925_69056721D000004_6925,69056722F000004,583013.03,2021-10-18,69,DEPARTMENT OF TRANSPORTATION (DOT),USHVJJK5QXH4,,972041155
1607,CONT_AWD_12444222F0059_12C2_12444222D0001_12C2,12444222F0059,1898.0,2022-03-14,12,DEPARTMENT OF AGRICULTURE (USDA),SNBNHEXFKGJ9,CARL POTTER FORESTRY INC,728578922
1608,CONT_AWD_693C7322C000017_6925_-NONE-_-NONE-,693C7322C000017,4694720.0,2022-08-05,69,DEPARTMENT OF TRANSPORTATION (DOT),GKU1XRD7BCX7,CENTRAL SOUTHERN CONSTRUCTION CORP,322041716
1609,CONT_AWD_693JJ320P000037_6925_-NONE-_-NONE-,693JJ320P000037,1353870.12,2020-08-27,69,DEPARTMENT OF TRANSPORTATION (DOT),HCWYCLB3QCE9,BANCLAB,100017604
1610,CONT_AWD_69056722F000067_6925_69056718D000005_6925,69056722F000067,2273300.0,2022-04-21,69,DEPARTMENT OF TRANSPORTATION (DOT),H26MCJZ8V743,"INTERMOUNTAIN SLURRY SEAL, INC.",841162321
1611,CONT_AWD_89243321PFE000475_8900_-NONE-_-NONE-,89243321PFE000475,76024.0,2021-09-10,89,DEPARTMENT OF ENERGY (DOE),UKP9XPKMCGT5,"ASPEN TECHNOLOGY, INC.",017301402
1612,CONT_AWD_693JJ921F000157_6940_693JJ918D000004_6940,693JJ921F000157,1624638.0,2021-09-21,69,DEPARTMENT OF TRANSPORTATION (DOT),KV6LNFQWZH48,TOXCEL LLC,201553061
1613,CONT_AWD_12441922F0035_12C2_47QTCA18D003G_4732,12441922F0035,20733.4,2022-08-30,12,DEPARTMENT OF AGRICULTURE (USDA),PK35MEQEASD5,"HEXAGON US FEDERAL, INC.",358241109
1614,CONT_AWD_12970222F0008_12C2_12837120D0034_12C2,12970222F0008,91157.0,2022-09-06,12,DEPARTMENT OF AGRICULTURE (USDA),DDABJU223EL9,"A TEAM PROFESSIONAL ASSOCIATES, INC.",850294726
1615,CONT_AWD_140G0122F0247_1434_140G0120D0021_1434,140G0122F0247,18319.36,2022-06-27,14,DEPARTMENT OF THE INTERIOR (DOI),FMWVU3EYSVF7,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",741165682
1616,CONT_AWD_12444622P0156_12C2_-NONE-_-NONE-,12444622P0156,19678.82,2022-08-16,12,DEPARTMENT OF AGRICULTURE (USDA),CLY9B6CG1TH1,REYCO FOREST MANAGEMENT LLC,545218820
1617,CONT_AWD_12970222F0032_12C2_12837120D0034_12C2,12970222F0032,188341.8,2022-09-01,12,DEPARTMENT OF AGRICULTURE (USDA),DDABJU223EL9,"A TEAM PROFESSIONAL ASSOCIATES, INC.",850294726
1618,CONT_AWD_140L3122F0005_1422_140L0620D0022_1422,140L3122F0005,199955.0,2022-06-21,14,DEPARTMENT OF THE INTERIOR (DOI),JHARC6U9CLA5,"GE FORESTRY, INC",975011702
1619,CONT_AWD_6973GH22F01604_6920_6973GH22D00009_6920,6973GH22F01604,106950.53,2022-09-07,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
1620,CONT_AWD_12FPC322F0094_12D0_12SPEC18D0008_12C3,12FPC322F0094,149918.32,2022-06-03,12,DEPARTMENT OF AGRICULTURE (USDA),LMF9HW9MPKL6,"RJH CONSULTANTS, INC.",801125999
1621,CONT_AWD_1305M222CNCNL0014_1330_-NONE-_-NONE-,1305M222CNCNL0014,294000.0,2022-09-08,13,DEPARTMENT OF COMMERCE (DOC),CPPKBPA253Q2,,80026
1622,CONT_AWD_68HE0422F0079_6800_68HERH19D0008_6800,68HE0422F0079,5268324.54,2022-09-22,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),LEEMJD9WKDC9,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",210311124
1623,CONT_AWD_1305M222FNCNP0345_1330_1305M221DNCNP0017_1330,1305M222FNCNP0345,1387492.73,2022-08-16,13,DEPARTMENT OF COMMERCE (DOC),K3WDSCEDY1V5,DEWBERRY ENGINEERS INC.,220314619
1624,CONT_AWD_1305M322FNRMA0126_1330_DOCEA133M15CQ0039_1330,1305M322FNRMA0126,1019804.11,2022-08-03,13,DEPARTMENT OF COMMERCE (DOC),T2YFU8KKZVA7,"SEA-BIRD ELECTRONICS, INC.",980052319
1625,CONT_AWD_140F0322F0050_1448_140F0121D0008_1448,140F0322F0050,708135.0,2022-07-27,14,DEPARTMENT OF THE INTERIOR (DOI),DELENYZCZKA4,"NATIONAL NATIVE AMERICAN CONSTRUCTION, INC.",838158395
1626,CONT_AWD_1240BK22F0075_12C2_1204T019A0001_12C2,1240BK22F0075,26350.0,2022-07-06,12,DEPARTMENT OF AGRICULTURE (USDA),D2L3M1YLNUA8,"RAMIREZ REFORESTATION, INC",985329156
1627,CONT_AWD_12363N22P4017_12C2_-NONE-_-NONE-,12363N22P4017,246930.39,2022-08-16,12,DEPARTMENT OF AGRICULTURE (USDA),QAYKP691VKD3,WEST RANGE FOREST PRODUCTS LLC,81637
1628,CONT_AWD_140P2022F0236_1443_GS00F114CA_4732,140P2022F0236,232719.2,2022-07-24,14,DEPARTMENT OF THE INTERIOR (DOI),HLNDLH9XRTU9,"GANNETT FLEMING, INC.",170112316
1629,CONT_AWD_12444122F0134_12C2_12444122A0028_12C2,12444122F0134,11736.0,2022-08-22,12,DEPARTMENT OF AGRICULTURE (USDA),VM6WNG6BDMB5,TOM LODGE,287146695
1630,CONT_AWD_693JJ318P000101_6925_-NONE-_-NONE-,693JJ318P000101,133291.0,2018-07-11,69,DEPARTMENT OF TRANSPORTATION (DOT),MC59TD7UK9G8,,284704441
1631,CONT_AWD_68HERH21F0116_6800_EPW12020_6800,68HERH21F0116,3989411.0,2021-02-19,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",220316050
1632,CONT_AWD_693JJ322F00179N_6925_693JJ322D000002_6925,693JJ322F00179N,91021.67,2022-08-10,69,DEPARTMENT OF TRANSPORTATION (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
1633,CONT_AWD_6973GH22F01716_6920_6973GH22D00016_6920,6973GH22F01716,273227.38,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),C4DSLZNYMPV3,"URBAN ELECTRIC, INC.",327013451
1634,CONT_AWD_693JK419F800002_6901_GS35F328DA_4732,693JK419F800002,2991869.59,2019-08-21,69,DEPARTMENT OF TRANSPORTATION (DOT),QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",220316050
1635,CONT_AWD_6973GH22F01753_6920_6973GH22D00016_6920,6973GH22F01753,252417.14,2022-09-14,69,DEPARTMENT OF TRANSPORTATION (DOT),C4DSLZNYMPV3,"URBAN ELECTRIC, INC.",327013451
1636,CONT_AWD_68HE0922F0038_6800_68HERH19D0018_6800,68HE0922F0038,3341722.12,2022-04-15,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),M73YRKYDXMC7,"TOEROEK ASSOCIATES, INC.",802281552
1637,CONT_AWD_140A1622F0181_1450_140A1218D0010_1450,140A1622F0181,47381.47,2022-08-31,14,DEPARTMENT OF THE INTERIOR (DOI),LMF9HW9MPKL6,,801125999
1638,CONT_AWD_6973GH22F01317_6920_6973GH18D00018_6920,6973GH22F01317,28387.15,2022-07-06,69,DEPARTMENT OF TRANSPORTATION (DOT),NLNMLBJA3TF4,"MAETEC POWER, INC.",144509542
1639,CONT_AWD_12441922F0022_12C2_12455018D0004_12C2,12441922F0022,63999.0,2022-08-03,12,DEPARTMENT OF AGRICULTURE (USDA),FL9CT4P2DNB4,"ADAMS CONTRACTING CO, INC",287719038
1640,CONT_AWD_69319522F30083N_6955_69319519D000008_6955,69319522F30083N,540781.12,2022-09-28,69,DEPARTMENT OF TRANSPORTATION (DOT),MMKUVNZBMNK4,"DMP GROUP, LLC , THE",200074119
1641,CONT_AWD_693KA919F00009_6920_DTFAWA10A00149_6920,693KA919F00009,12653902.79,2018-11-29,69,DEPARTMENT OF TRANSPORTATION (DOT),HK6NU3RTN6K3,"CGH TECHNOLOGIES, INC.",200242701
1642,CONT_AWD_89243122FSC400444_8900_NNG15SC33B_8000,89243122FSC400444,85272.0,2022-08-19,89,DEPARTMENT OF ENERGY (DOE),NUNVJJM2UYY1,"EMERGENT, LLC",234623375
1643,CONT_AWD_693JJ321F000109_6925_693JJ319A000012_6925,693JJ321F000109,2390185.5,2021-04-19,69,DEPARTMENT OF TRANSPORTATION (DOT),JNFEJMSLMXW7,,221025107
1644,CONT_AWD_693JJ919C000005_6940_-NONE-_-NONE-,693JJ919C000005,391063.32,2019-09-09,69,DEPARTMENT OF TRANSPORTATION (DOT),C93DLGAE3NP9,NEW JERSEY STATE ASSOCIATION OF CHIEFS OF POLICE,080533456
1645,CONT_AWD_12444322P0044_12C2_-NONE-_-NONE-,12444322P0044,29923.0,2022-04-11,12,DEPARTMENT OF AGRICULTURE (USDA),VVFSALLMLSK9,SHABA CONTRACTING,287718115
1646,CONT_AWD_6973GH22F01612_6920_6973GH22D00009_6920,6973GH22F01612,0.0,2022-09-06,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
1647,CONT_AWD_140P6021C0010_1443_-NONE-_-NONE-,140P6021C0010,2594597.63,2021-09-10,14,DEPARTMENT OF THE INTERIOR (DOI),ZQSYA8Z3JBG1,BKM CONSTRUCTION LLC,660482610
1648,CONT_AWD_140P2022P0027_1443_-NONE-_-NONE-,140P2022P0027,241600.0,2022-09-13,14,DEPARTMENT OF THE INTERIOR (DOI),LFUMTMEQ5BT1,ROCKY MOUNTAIN ALUMINUM SIGN & SUPPLY LLC,812399606
1649,CONT_AWD_140L3922P0127_1422_-NONE-_-NONE-,140L3922P0127,50700.0,2022-08-23,14,DEPARTMENT OF THE INTERIOR (DOI),RCRNKJ3SRA95,"GILES CONSTRUCTION, LLC",840741610
1650,CONT_AWD_11316022F0001NCD_1100_OASLAZA18001_1100,11316022F0001NCD,75613.0,2022-03-30,1100,EXECUTIVE OFFICE OF THE PRESIDENT (EOP),SBNMMP1NMVH3,"LAZ PARKING LTD, LLC",061032500
1651,CONT_AWD_1282B122C0005_12C2_-NONE-_-NONE-,1282B122C0005,137292.0,2022-09-23,12,DEPARTMENT OF AGRICULTURE (USDA),GPQHYMJK1ZZ8,NOVAK FENCING INC,596027541
1652,CONT_AWD_6973GH22F01615_6920_6973GH22D00009_6920,6973GH22F01615,256979.3,2022-09-06,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
1653,CONT_AWD_693JJ322F00312N_6925_693JJ322A000003_6925,693JJ322F00312N,149962.0,2022-09-14,69,DEPARTMENT OF TRANSPORTATION (DOT),FNXDK49XHH74,,021555148
1654,CONT_AWD_693JJ322F00274N_6925_693JJ321D000010_6925,693JJ322F00274N,77273.0,2022-08-30,69,DEPARTMENT OF TRANSPORTATION (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
1655,CONT_AWD_1240BE22F0022_12C2_AG046WB170012_12C2,1240BE22F0022,44998.75,2022-05-19,12,DEPARTMENT OF AGRICULTURE (USDA),K85WR3JV6TN6,"PLANTWORKS LLC , THE",978248208
1656,CONT_AWD_697DCK22C00347_6920_-NONE-_-NONE-,697DCK22C00347,167000.0,2022-09-08,69,DEPARTMENT OF TRANSPORTATION (DOT),C5AQBPFJTLH7,LI CRAFTSMANSHIP INC.,117412254
1657,CONT_AWD_70RSAT22P00000029_7001_-NONE-_-NONE-,70RSAT22P00000029,116650.0,2022-09-30,70,DEPARTMENT OF HOMELAND SECURITY (DHS),WV5SKY8MTFU1,"INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS, INCORPORATED, THE",088544141
1658,CONT_AWD_140L3722F0232_1422_140L0620D0020_1422,140L3722F0232,215862.5,2022-09-09,14,DEPARTMENT OF THE INTERIOR (DOI),NEZLJNFFTE11,"CUTTING EDGE FORESTRY, INC.",975019335
1659,CONT_AWD_12443922P0061_12C2_-NONE-_-NONE-,12443922P0061,47790.0,2022-06-21,12,DEPARTMENT OF AGRICULTURE (USDA),Y6GENJZ93BW9,"MARS, L.L.C.",481789403
1660,CONT_AWD_693JJ918F000234_6940_DTNH2215D00017_6940,693JJ918F000234,2162169.0,2018-09-28,69,DEPARTMENT OF TRANSPORTATION (DOT),GNJ7BBP73WE9,REGENTS OF THE UNIVERSITY OF MICHIGAN,481091340
1661,CONT_AWD_12443922P0084_12C2_-NONE-_-NONE-,12443922P0084,4715.0,2022-07-29,12,DEPARTMENT OF AGRICULTURE (USDA),J6RWLB2AAHN4,"RX FIRE EFFECTS, LLC",228412503
1662,CONT_AWD_W912P422C0013_9700_-NONE-_-NONE-,W912P422C0013,2273072.0,2022-06-29,97,DEPARTMENT OF DEFENSE (DOD),J627UT3NCLZ3,"NERONE & SONS, INC.",441284261
1663,CONT_AWD_DTFAWA12C00064_6920_-NONE-_-NONE-,DTFAWA12C00064,1524335739.21,2012-08-23,69,DEPARTMENT OF TRANSPORTATION (DOT),NMBCAG1JBKL7,,911240001
1664,CONT_AWD_693JJ319F000099_6925_693JJ319D000012_6925,693JJ319F000099,2962511.04,2019-04-01,69,DEPARTMENT OF TRANSPORTATION (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905640
1665,CONT_AWD_6973GH22F01525_6920_6973GH18D00018_6920,6973GH22F01525,25715.75,2022-08-23,69,DEPARTMENT OF TRANSPORTATION (DOT),NLNMLBJA3TF4,"MAETEC POWER, INC.",144509542
1666,CONT_AWD_693KA818C00010_6920_-NONE-_-NONE-,693KA818C00010,8385020.61,2018-05-10,69,DEPARTMENT OF TRANSPORTATION (DOT),FECDBHGKD452,"INTERACTIVE PROCESS TECHNOLOGY, LLC",018214134
1667,CONT_AWD_693JJ922P000050_6940_-NONE-_-NONE-,693JJ922P000050,12691.32,2022-09-23,69,DEPARTMENT OF TRANSPORTATION (DOT),ZF2JKBE7K285,"WESTWIND COMPUTER PRODUCTS, INC.",871093700
1668,CONT_AWD_693JJ922P000037_6940_-NONE-_-NONE-,693JJ922P000037,50000.0,2022-06-22,69,DEPARTMENT OF TRANSPORTATION (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
1669,CONT_AWD_89303020FCF000013_8900_89303020ACF000009_8900,89303020FCF000013,8763307.0,2020-08-19,89,DEPARTMENT OF ENERGY (DOE),SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",220424504
1670,CONT_AWD_12444522F0049_12C2_12569R19D0011_12C2,12444522F0049,20720.0,2022-04-05,12,DEPARTMENT OF AGRICULTURE (USDA),PJYJS1ATQT77,"NORTHWOODS FORESTRY, INC.",547389268
1671,CONT_AWD_12444022F0056_12C2_12760421A0005_12C2,12444022F0056,1920.3,2022-08-29,12,DEPARTMENT OF AGRICULTURE (USDA),GWGLGY7DGKW6,SPOT LLC,704336132
1672,CONT_AWD_12760422P0044_12C2_-NONE-_-NONE-,12760422P0044,987000.0,2022-08-18,12,DEPARTMENT OF AGRICULTURE (USDA),E2ADLMGD8FU9,NEXT TIER CONCEPTS INC,221827730
1673,CONT_AWD_6973GH22C00090_6920_-NONE-_-NONE-,6973GH22C00090,1159870.0,2022-05-24,69,DEPARTMENT OF TRANSPORTATION (DOT),NK7DHYALXVQ3,"JOE R. JONES CONSTRUCTION, INC.",760889102
1674,CONT_AWD_68HE0719F0171_6800_68HERH19D0008_6800,68HE0719F0171,19553366.98,2019-09-13,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),LEEMJD9WKDC9,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",210311124
1675,CONT_AWD_EPW17009_6800_-NONE-_-NONE-,EPW17009,8337383.42,2017-02-14,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),X1ZXL81Y8E18,ABT ASSOCIATES INC.,021381192
